cls_type_id,code,parent_code,name,color
7,01.009.0112.0520,01.009.0112,НАПИТКИ ДЕТСКИЕ СОКИ,CCCCCC
7,01.009.0112.0521,01.009.0112,НАПИТКИ ДЕТСКИЕ ЧАЙ,CCCCCC
7,01.009.0130.0039,01.009.0130,БАТОНЧИКИ ДЕТСКИЕ,CCCCCC
7,01.009.0130.0581,01.009.0130,ПЕЧЕНЬЕ ДЕТСКОЕ,CCCCCC
7,01.010.0100.0140,01.010.0100,ГРЕБЕШКИ ЗАМОРОЖЕННЫЕ,CCCCCC
7,01.010.0100.0191,01.010.0100,ДРУГИЕ ДЕЛИКАТЕСЫ ЗАМОРОЖЕННЫЕ,CCCCCC
7,01.010.0100.0257,01.010.0100,ИЗДЕЛИЯ ИЗ СУРИМИ ЗАМОРОЖЕННЫЕ,CCCCCC
7,01.010.0100.0285,01.010.0100,КАЛЬМАРЫ ЗАМОРОЖЕННЫЕ,CCCCCC
7,01.010.0100.0286,01.010.0100,КАРАКАТИЦА ВЕСОВАЯ,CCCCCC
7,01.010.0100.0375,01.010.0100,КРЕВЕТКИ ЗАМОРОЖЕННЫЕ,CCCCCC
7,01.010.0100.0459,01.010.0100,МИДИИ ЗАМОРОЖЕННЫЕ,CCCCCC
7,01.010.0100.0478,01.010.0100,МОРСКОЙ КОКТЕЙЛЬ ВЕСОВОЙ,CCCCCC
7,01.010.0100.0550,01.010.0100,ОСЬМИНОГИ ЗАМОРОЖЕННЫЕ,CCCCCC
7,01.010.0137.0662,01.010.0137,П/Ф ИЗ РЫБЫ ЗАМОРОЖЕННЫЕ,CCCCCC
7,01.010.0137.0694,01.010.0137,РЫБА ЗАМОРОЖЕННАЯ ФАРШ,CCCCCC
7,01.010.0155.0687,01.010.0155,РЫБА ЗАМОРОЖЕННАЯ НАБОРЫ ДЛЯ УХИ,CCCCCC
7,01.010.0155.0689,01.010.0155,РЫБА ЗАМОРОЖЕННАЯ НЕРАЗДЕЛАННАЯ В УПАКОВКЕ (В КИЛОГРАММАХ),CCCCCC
7,01.010.0155.0690,01.010.0155,РЫБА ЗАМОРОЖЕННАЯ НЕРАЗДЕЛАННАЯ В УПАКОВКЕ (В ШТУКАХ),CCCCCC
7,01.010.0155.0688,01.010.0155,РЫБА ЗАМОРОЖЕННАЯ НЕРАЗДЕЛАННАЯ ВЕСОВАЯ,CCCCCC
7,01.010.0155.0692,01.010.0155,РЫБА ЗАМОРОЖЕННАЯ СТЕЙК В УПАКОВКЕ (В КИЛОГРАММАХ),CCCCCC
7,01.010.0155.0693,01.010.0155,РЫБА ЗАМОРОЖЕННАЯ СТЕЙК В УПАКОВКЕ (В ШТУКАХ),CCCCCC
7,01.010.0155.0691,01.010.0155,РЫБА ЗАМОРОЖЕННАЯ СТЕЙК ВЕСОВАЯ,CCCCCC
7,01.010.0155.0696,01.010.0155,РЫБА ЗАМОРОЖЕННАЯ ФИЛЕ В УПАКОВКЕ (В КИЛОГРАММАХ),CCCCCC
7,01.010.0155.0695,01.010.0155,РЫБА ЗАМОРОЖЕННАЯ ФИЛЕ ВЕСОВАЯ,CCCCCC
7,01.010.0155.0697,01.010.0155,РЫБА ЗАМОРОЖЕННАЯ ФИЛЕ  В УПАКОВКЕ (В ШТУКАХ),CCCCCC
7,01.011.0009.0163,01.011.0009,ДИАБЕТИЧЕСКИЕ БАТОНЧИКИ,CCCCCC
7,01.011.0009.0164,01.011.0009,"ДИАБЕТИЧЕСКИЕ ВАРЕНЬЯ, СИРОПЫ",CCCCCC
7,01.011.0009.0165,01.011.0009,ДИАБЕТИЧЕСКИЕ ЗАМЕНИТЕЛИ САХАРА,CCCCCC
7,01.011.0009.0166,01.011.0009,ДИАБЕТИЧЕСКИЕ КОНДИТЕРСКИЕ ИЗДЕЛИЯ,CCCCCC
7,01.011.0009.0167,01.011.0009,ДИАБЕТИЧЕСКИЕ КОНДИТЕРСКИЕ ИЗДЕЛИЯ ПРОЧИЕ,CCCCCC
7,01.011.0009.0168,01.011.0009,ДИАБЕТИЧЕСКИЕ МУЧНЫЕ КОНДИТЕРСКИЕ ИЗДЕЛИЯ,CCCCCC
7,01.011.0009.0169,01.011.0009,ДИАБЕТИЧЕСКИЕ НАПИТКИ,CCCCCC
7,01.011.0009.0345,01.011.0009,КОНТРОЛЬ ВЕСА,CCCCCC
7,01.011.0009.0561,01.011.0009,ПАРАФАРМАЦЕВТИЧЕСКИЕ БАДЫ,CCCCCC
7,01.011.0044.0032,01.011.0044.0225,БАД ЗОЖ,CCCCCC
7,01.011.0044.0038,01.011.0044.0225,БАТОНЧИКИ,CCCCCC
7,01.011.0044.0054,01.011.0044.0225,"ВАРЕНЬЕ, СИРОПЫ",CCCCCC
7,01.011.0044.0058,01.011.0044.0225,"ВЕГЕТАРИАНСКИЕ ПОЛУФАБРИКАТЫ, КОТЛЕТЫ",CCCCCC
7,01.011.0044.0225,01.011.0044.0225,ЖИВОЕ ПИТАНИЕ,CCCCCC
7,01.011.0044.0232,01.011.0044.0225,ЗАМЕНИТЕЛИ САХАРА,CCCCCC
7,01.011.0044.0233,01.011.0044.0225,ЗАМОРОЖЕННАЯ ПРОДУКЦИЯ ДЛЯ ВЕГЕТАРИАНЦЕВ,CCCCCC
