name,code,parent_code,cls_type_id
ЗДОРОВЫЙ ОБРАЗ ЖИЗНИ,01.011,01,7
АПТЕКА,01.011.0009,01.011,7
ДИАБЕТИЧЕСКИЕ БАТОНЧИКИ,01.011.0009.0163,01.011.0009,7
"ДИАБЕТИЧЕСКИЕ ВАРЕНЬЯ, СИРОПЫ",01.011.0009.0164,01.011.0009,7
ДИАБЕТИЧЕСКИЕ ЗАМЕНИТЕЛИ САХАРА,01.011.0009.0165,01.011.0009,7
ДИАБЕТИЧЕСКИЕ КОНДИТЕРСКИЕ ИЗДЕЛИЯ,01.011.0009.0166,01.011.0009,7
ДИАБЕТИЧЕСКИЕ КОНДИТЕРСКИЕ ИЗДЕЛИЯ ПРОЧИЕ,01.011.0009.0167,01.011.0009,7
ДИАБЕТИЧЕСКИЕ МУЧНЫЕ КОНДИТЕРСКИЕ ИЗДЕЛИЯ,01.011.0009.0168,01.011.0009,7
ДИАБЕТИЧЕСКИЕ НАПИТКИ,01.011.0009.0169,01.011.0009,7
КОНТРОЛЬ ВЕСА,01.011.0009.0345,01.011.0009,7
ПАРАФАРМАЦЕВТИЧЕСКИЕ БАДЫ,01.011.0009.0561,01.011.0009,7
ЖИВОЕ ПИТАНИЕ,01.011.0044,01.011,7
БАД ЗОЖ,01.011.0044.0032,01.011.0044,7
БАТОНЧИКИ,01.011.0044.0038,01.011.0044,7
"ВАРЕНЬЕ, СИРОПЫ",01.011.0044.0054,01.011.0044,7
"ВЕГЕТАРИАНСКИЕ ПОЛУФАБРИКАТЫ, КОТЛЕТЫ",01.011.0044.0058,01.011.0044,7
ЖИВОЕ ПИТАНИЕ,01.011.0044.0225,01.011.0044,7
ЗАМЕНИТЕЛИ САХАРА,01.011.0044.0232,01.011.0044,7
ЗАМОРОЖЕННАЯ ПРОДУКЦИЯ ДЛЯ ВЕГЕТАРИАНЦЕВ,01.011.0044.0233,01.011.0044,7
"КАШИ,ХЛОПЬЯ,МЮСЛИ",01.011.0044.0299,01.011.0044,7
"КЛЕТЧАТКА, ОТРУБИ",01.011.0044.0310,01.011.0044,7
КОНДИТЕРСКИЕ ИЗДЕЛИЯ ЗОЖ,01.011.0044.0331,01.011.0044,7
КОНДИТЕРСКИЕ ИЗДЕЛИЯ ПРОЧИЕ,01.011.0044.0332,01.011.0044,7
КОСМЕТИКА ЭТНИЧЕСКАЯ,01.011.0044.0367,01.011.0044,7
"КРУПЫ, ЗЕРНА, СЕМЕНА",01.011.0044.0383,01.011.0044,7
"МАКАРОННЫЕ ИЗДЕЛИЯ, ВЕГЕТАРИАНСКИЕ СУПЫ",01.011.0044.0428,01.011.0044,7
МАСЛА,01.011.0044.0442,01.011.0044,7
МУКА ЗОЖ,01.011.0044.0485,01.011.0044,7
МУЧНЫЕ КОНДИТЕРСКИЕ ИЗДЕЛИЯ ЗОЖ,01.011.0044.0488,01.011.0044,7
НАПИТКИ,01.011.0044.0518,01.011.0044,7
ОХЛАЖДЕННАЯ ПРОДУКЦИЯ ДЛЯ ВЕГЕТАРИАНЦЕВ,01.011.0044.0553,01.011.0044,7
ПРОДУКТЫ ЭТНИЧЕСКОЙ КУХНИ,01.011.0044.0651,01.011.0044,7
"СНЭКИ, ХЛЕБЦЫ",01.011.0044.0767,01.011.0044,7
"СОЛЬ, ПРИПРАВЫ",01.011.0044.0779,01.011.0044,7
СУПЕРФУДЫ,01.011.0044.0819,01.011.0044,7
"ЧАЙ, ФИТОСБОРЫ",01.011.0044.0935,01.011.0044,7
СТРОЙНАЯ ФИГУРА,01.011.0192,01.011,7
СТРОЙНАЯ ФИГУРА НАПИТКИ,01.011.0192.0817,01.011.0192,7
СТРОЙНАЯ ФИГУРА ОСНОВНОЕ ПИТАНИЕ,01.011.0192.0818,01.011.0192,7
КОНСЕРВАЦИЯ,01.015,01,7
КОНСЕРВАЦИЯ ГРИБНАЯ,01.015.0069,01.015,7
ГРИБЫ КОНСЕРВИРОВАННЫЕ,01.015.0069.0143,01.015.0069,7
КОНСЕРВАЦИЯ МОЛОЧНАЯ,01.015.0070,01.015,7
КОНСЕРВИРОВАННЫЕ МОЛОЧНЫЕ ПРОДУКТЫ ДРУГИЕ,01.015.0070.0335,01.015.0070,7
МОЛОКО КОНЦЕНТРИРОВАННОЕ,01.015.0070.0464,01.015.0070,7
МОЛОКО СГУЩЕННОЕ,01.015.0070.0466,01.015.0070,7
МОЛОКО СГУЩЕННОЕ ВАРЕННОЕ,01.015.0070.0467,01.015.0070,7
"МОЛОКО СГУЩЕННОЕ С КОФЕ, КАКАО",01.015.0070.0468,01.015.0070,7
СЛИВКИ СГУЩЕННЫЕ С ДОБАВЛЕНИЕМ САХАРА,01.015.0070.0749,01.015.0070,7
КОНСЕРВАЦИЯ МЯСНАЯ,01.015.0071,01.015,7
КОНСЕРВИРОВАННЫЕ МЯСНЫЕ ПОЛУФАБРИКАТЫ,01.015.0071.0336,01.015.0071,7
КОНСЕРВЫ ИЗ ПТИЦЫ,01.015.0071.0337,01.015.0071,7
КОНСЕРВЫ МЯСНЫЕ,01.015.0071.0340,01.015.0071,7
КОНСЕРВЫ МЯСНЫЕ ДРУГИЕ,01.015.0071.0341,01.015.0071,7
КОНСЕРВЫ МЯСОРАСТИТЕЛЬНЫЕ,01.015.0071.0342,01.015.0071,7
ПАШТЕТЫ ИЗ МЯСА И ПТИЦЫ,01.015.0071.0568,01.015.0071,7
СУБПРОДУКТЫ КОНСЕРВИРОВАННЫЕ,01.015.0071.0818,01.015.0071,7
КОНСЕРВАЦИЯ ПЛОДО-ОВОЩНАЯ,01.015.0072,01.015,7
АССОРТИ ОВОЩНОЕ,01.015.0072.0027,01.015.0072,7
ГОРОШЕК ЗЕЛЕНЫЙ  КОНСЕРВИРОВАННЫЙ,01.015.0072.0138,01.015.0072,7
"ЗАКУСКИ, САЛАТЫ, ГОТОВЫЕ БЛЮДА КОНСЕРВИРОВАННЫЕ",01.015.0072.0231,01.015.0072,7
ИКРА ОВОЩНАЯ,01.015.0072.0261,01.015.0072,7
КУКУРУЗА КОНСЕРВИРОВАННАЯ,01.015.0072.0394,01.015.0072,7
